player,sport,seasons_present,archetypes_seen,n_changes,most_common_archetype
Wataru Endo,soccer,1,1,0,The Glue Guy
Will Hughes,soccer,1,1,0,The Glue Guy
William Saliba,soccer,1,1,0,The Workhorse
Willian,soccer,1,1,0,The Playmaker
Willy Boly,soccer,1,1,0,The Enforcer
Wilson Odobert,soccer,1,1,0,The Scorer
Yoane Wissa,soccer,1,1,0,The Scorer
Youri Tielemans,soccer,1,1,0,The Scorer
Yves Bissouma,soccer,1,1,0,The Glue Guy
Zeki Amdouni,soccer,1,1,0,The Scorer
Álex Moreno,soccer,1,1,0,The Scorer
